Id,TagName,Count,ExcerptPostId,WikiPostId
1,definitions,39,105.0,104.0
2,machine-learning,11403,4909.0,4908.0
3,bigdata,456,66.0,65.0
5,data-mining,1181,80.0,79.0
6,databases,100,8960.0,8959.0
8,libsvm,16,18.0,17.0
10,scalability,33,,
11,efficiency,44,142.0,141.0
12,performance,182,99799.0,99798.0
13,nosql,23,119.0,118.0
14,relational-dbms,7,,
15,clustering,1396,145.0,144.0
16,octave,16,68.0,67.0
17,k-means,452,8958.0,8957.0
19,algorithms,405,8932.0,8931.0
21,tools,68,90882.0,90881.0
22,processing,18,,
23,apache-hadoop,118,5840.0,5839.0
24,r,1485,49.0,48.0
26,data-cleaning,762,8940.0,8939.0
27,statistics,1129,3790.0,3789.0
29,distributed,38,,
31,neo4j,13,181.0,180.0
35,information-retrieval,145,48747.0,48746.0
36,google,45,80788.0,80787.0
37,search,59,,
39,education,34,8276.0,8275.0
40,open-source,22,,
42,similarity,288,,
43,data-stream-mining,24,109.0,108.0
45,dimensionality-reduction,291,8975.0,8974.0
46,python,6693,5523.0,5522.0
47,nlp,2740,147.0,146.0
48,language-model,170,88032.0,88031.0
50,topic-model,151,8400.0,8399.0
51,lda,126,6763.0,6762.0
54,feature-selection,974,8936.0,8935.0
55,map-reduce,29,137.0,136.0
56,mongodb,15,178.0,177.0
59,indexing,23,152.0,151.0
60,data-indexing-techniques,9,149.0,148.0
61,dataset,1508,8889.0,8888.0
62,.net,13,168.0,167.0
64,pandas,1340,9185.0,9184.0
65,parallel,39,,
66,metadata,21,,
67,parsing,36,,
71,social-network-analysis,94,8973.0,8972.0
72,time-series,1885,8904.0,8903.0
73,javascript,40,,
74,visualization,699,8952.0,8951.0
76,svm,580,8574.0,8573.0
77,classification,3281,4911.0,4910.0
78,binary,107,,
80,optimization,500,8954.0,8953.0
81,neural-network,4368,8885.0,8884.0
82,usecase,10,,
83,consumerweb,7,,
84,parameter,45,,
87,aws,67,88105.0,88104.0
90,text-mining,573,8900.0,8899.0
94,freebase,3,48674.0,48673.0
95,knowledge-base,25,,
100,confusion-matrix,181,9043.0,9042.0
101,accuracy,407,90254.0,90253.0
102,categorical-data,395,8977.0,8976.0
104,data-formats,37,,
105,hierarchical-data-format,31,,
108,sql,107,8990.0,8989.0
109,research,70,,
110,experiments,42,39144.0,39143.0
113,random-forest,853,8938.0,8937.0
114,logistic-regression,706,8934.0,8933.0
116,crawling,14,,
119,anonymization,16,,
120,beginner,152,10335.0,10334.0
123,graphs,219,89838.0,89837.0
124,cross-validation,641,8988.0,8987.0
126,sampling,187,,
128,scikit-learn,2308,5896.0,5895.0
129,kaggle,120,48600.0,48599.0
135,gradient-descent,450,48491.0,48490.0
136,feature-extraction,414,10019.0,10018.0
138,state-of-the-art,10,,
139,career,65,,
143,genetic,5,,
144,correlation,400,8969.0,8968.0
146,error-handling,54,,
147,apache-pig,7,22402.0,22401.0
156,glm,29,,
157,regression,1592,8906.0,8905.0
158,scala,46,49016.0,49015.0
159,csv,106,8992.0,8991.0
160,online-learning,60,88152.0,88151.0
164,gbm,60,9096.0,9095.0
167,marketing,39,,
168,predictive-modeling,1193,8902.0,8901.0
175,library,23,,
179,java,55,10021.0,10020.0
184,anomaly-detection,355,48505.0,48504.0
185,forecast,100,,
186,sequence,119,9053.0,9052.0
191,hbase,2,48678.0,48677.0
193,tableau,63,,
194,deep-learning,4871,8956.0,8955.0
195,ensemble-modeling,196,48541.0,48540.0
197,infographics,8,,
200,feature-scaling,263,21855.0,21854.0
201,apache-mahout,16,48660.0,48659.0
202,hive,14,48745.0,48744.0
205,object-recognition,61,,
206,hog,5,,
207,computer-vision,634,9205.0,9204.0
211,methods,21,,
212,scoring,60,,
213,ranking,118,9049.0,9048.0
214,sports,8,,
215,markov-process,68,8986.0,8985.0
216,matlab,156,48517.0,48516.0
217,simulation,35,,
218,finance,63,48020.0,48019.0
219,apache-spark,242,8971.0,8970.0
220,linear-regression,769,8887.0,8886.0
222,version-control,14,,
224,image-classification,752,51105.0,51104.0
226,software-development,17,114184.0,114183.0
227,rstudio,73,49014.0,49013.0
229,programming,40,,
232,notation,17,57306.0,57305.0
233,terminology,101,9059.0,9058.0
235,sas,26,9051.0,9050.0
236,hyperparameter,150,21852.0,21851.0
237,survival-analysis,46,9045.0,9044.0
238,discriminant-analysis,21,9106.0,9105.0
239,multiclass-classification,557,90605.0,90604.0
240,books,46,,
243,genetic-algorithms,60,,
244,featurization,5,,
249,decision-trees,752,16988.0,16987.0
250,self-study,54,,
251,named-entity-recognition,165,,
254,bioinformatics,28,9098.0,9097.0
255,data,866,35800.0,35799.0
261,multitask-learning,35,6442.0,6441.0
266,word-embeddings,502,6614.0,6613.0
269,software-recommendation,38,9057.0,9056.0
271,preprocessing,533,73186.0,73185.0
272,multilabel-classification,322,6780.0,6779.0
273,reference-request,81,9055.0,9054.0
274,julia,16,12599.0,12598.0
276,loss-function,533,48493.0,48492.0
278,ggplot2,47,21818.0,21817.0
279,normalization,299,48521.0,48520.0
280,weighted-data,67,,
281,feature-construction,83,,
282,supervised-learning,382,9047.0,9046.0
283,descriptive-statistics,84,9104.0,9103.0
284,aggregation,47,,
286,c,16,,
287,missing-data,203,88101.0,88100.0
288,markov,14,,
289,expectation-maximization,25,9102.0,9101.0
290,distance,152,12579.0,12578.0
291,cosine-distance,88,48664.0,48663.0
293,learning,41,,
298,ipython,51,48858.0,48857.0
299,anaconda,59,48656.0,48655.0
301,numerical,34,,
302,history,8,,
303,outlier,222,12561.0,12560.0
304,unsupervised-learning,455,9094.0,9093.0
305,probability,304,73188.0,73187.0
307,autoencoder,339,8674.0,8673.0
310,backpropagation,310,36804.0,36803.0
311,theano,45,48598.0,48597.0
312,fuzzy-logic,31,57240.0,57239.0
313,weka,69,18889.0,18888.0
315,scraping,42,88728.0,88727.0
317,xgboost,701,12577.0,12576.0
319,data-wrangling,53,,
320,data-product,16,,
321,tensorflow,2183,9183.0,9182.0
322,excel,84,88040.0,88039.0
323,semi-supervised-learning,58,63634.0,63633.0
324,keras,2722,9251.0,9250.0
325,azure-ml,58,9253.0,9252.0
327,machine-translation,89,90750.0,90749.0
328,data-imputation,124,43035.0,43034.0
329,gensim,102,10237.0,10236.0
330,lsi,7,,
331,model-selection,254,43582.0,43581.0
332,feature-engineering,655,25556.0,25555.0
333,hinge-loss,9,9986.0,9985.0
334,stata,8,89007.0,89006.0
335,text,170,88479.0,88478.0
337,json,37,,
340,reinforcement-learning,620,9674.0,9673.0
341,q-learning,128,9676.0,9675.0
342,google-prediction-api,7,,
344,ab-test,55,48409.0,48408.0
345,nltk,140,10023.0,10022.0
346,apache-kafka,6,48658.0,48657.0
347,pybrain,4,48951.0,48950.0
348,word2vec,362,12733.0,12732.0
351,convergence,41,,
352,pgm,5,9830.0,9829.0
354,parameter-estimation,56,,
356,bayesian-networks,52,,
358,orange,232,9921.0,9920.0
359,churn,46,,
360,naive-bayes-classifier,205,9984.0,9983.0
361,image-recognition,252,10017.0,10016.0
362,market-basket-analysis,24,48866.0,48865.0
363,association-rules,74,,
364,audio-recognition,119,,
365,rbm,30,10129.0,10128.0
366,interpolation,29,10137.0,10136.0
367,recommender-system,483,25261.0,25260.0
368,regularization,169,48959.0,48958.0
370,dbscan,73,48666.0,48665.0
372,pca,336,23174.0,23173.0
373,randomized-algorithms,23,,
374,rnn,744,10591.0,10590.0
376,labels,104,90880.0,90879.0
377,tsne,71,23176.0,23175.0
378,manifold,11,,
380,stanford-nlp,61,10929.0,10928.0
382,dropout,65,48856.0,48855.0
383,training,694,90603.0,90602.0
386,amazon-ml,9,,
388,geospatial,86,11343.0,11342.0
389,sequential-pattern-mining,59,,
393,gpu,168,90619.0,90618.0
395,jaccard-coefficient,17,48811.0,48810.0
396,pyspark,129,48580.0,48579.0
397,jupyter,160,48813.0,48812.0
398,sentiment-analysis,237,48578.0,48577.0
400,torch,24,,
401,competitions,9,,
402,overfitting,380,48509.0,48508.0
403,powerbi,38,48949.0,48948.0
407,prediction,459,99538.0,99537.0
409,score,36,,
410,encoding,188,88099.0,88098.0
411,spss,7,49046.0,49045.0
412,gaussian,86,88320.0,88319.0
415,mutual-information,27,48868.0,48867.0
416,bayesian,142,103456.0,103455.0
422,etl,20,,
427,graphical-model,29,,
434,domain-adaptation,15,,
437,methodology,49,,
438,theory,61,88732.0,88731.0
442,distribution,171,,
443,text-generation,84,100365.0,100364.0
444,estimators,17,,
445,information-theory,37,57262.0,57261.0
450,cost-function,74,,
452,data-augmentation,122,,
457,inception,46,,
458,caffe,15,48662.0,48661.0
459,redshift,5,17602.0,17601.0
461,text-filter,11,,
464,management,14,,
465,variance,120,,
466,regex,34,48957.0,48956.0
467,noisification,3,,
468,privacy,14,114180.0,114179.0
470,vc-theory,29,,
471,search-engine,31,,
473,community,4,,
474,monte-carlo,37,,
476,pytorch,730,16990.0,16989.0
478,dirichlet,9,48793.0,48792.0
480,plotting,155,90878.0,90877.0
481,matrix-factorisation,58,48818.0,48817.0
482,convolution,285,49288.0,49287.0
483,active-learning,28,,
484,tokenization,71,,
485,linux,10,,
486,data-leakage,60,,
487,gan,236,24887.0,24886.0
488,rattle,3,17451.0,17450.0
491,embeddings,191,,
499,ocr,78,25247.0,25246.0
502,linear-algebra,91,48860.0,48859.0
504,similar-documents,61,,
505,representation,43,,
510,lda-classifier,8,,
511,perceptron,84,48897.0,48896.0
512,automatic-summarization,33,,
513,nvidia,25,,
514,alex-net,13,,
519,smote,101,49042.0,49041.0
520,class-imbalance,556,82475.0,82474.0
521,dataframe,353,48519.0,48518.0
522,classifier,72,,
524,vector-space-models,38,,
527,lstm,1174,25536.0,25535.0
528,forecasting,342,90735.0,90734.0
530,mnist,90,25538.0,25537.0
532,tfidf,134,100254.0,100253.0
533,learning-rate,43,,
534,twitter,26,91008.0,91007.0
535,cloud,18,,
537,batch-normalization,62,22487.0,22486.0
538,word,11,,
539,generative-models,175,56541.0,56540.0
550,game,23,23308.0,23307.0
552,ngrams,34,,
554,meta-learning,21,,
555,ensemble,38,,
556,pac-learning,20,24318.0,24317.0
557,cnn,1367,28890.0,28889.0
558,tranformation,4,,
559,seaborn,103,49020.0,49019.0
561,counts,15,,
562,numpy,361,48507.0,48506.0
564,activation-function,172,48617.0,48616.0
565,cloud-computing,26,,
566,homework,14,,
567,keras-rl,11,24515.0,24514.0
568,openai-gym,51,,
569,dqn,83,100256.0,100255.0
570,mini-batch-gradient-descent,57,100464.0,100463.0
571,neural-style-transfer,15,,
572,noise,39,,
575,yolo,120,91199.0,91198.0
576,ibm-watson,1,48809.0,48808.0
577,speech-to-text,46,49044.0,49043.0
580,matplotlib,214,48596.0,48595.0
581,tflearn,9,,
582,learning-to-rank,27,,
583,anomaly,23,,
584,actor-critic,28,58477.0,58476.0
585,grid-search,112,48676.0,48675.0
586,hyperparameter-tuning,289,90616.0,90615.0
587,bayes-error,8,35927.0,35926.0
588,transfer-learning,194,26090.0,26089.0
591,kernel,90,43586.0,43585.0
593,reshape,40,,
594,project-planning,16,,
596,scipy,96,49018.0,49017.0
598,bias,101,,
599,markov-hidden-model,46,48816.0,48815.0
602,sequence-to-sequence,120,,
605,svr,19,,
606,vgg16,57,88730.0,88729.0
607,object-detection,348,57308.0,57307.0
608,automation,10,,
609,glorot-initialization,7,,
610,faster-rcnn,50,,
611,ensemble-learning,43,,
612,k-nn,195,43051.0,43050.0
613,hardware,31,114432.0,114431.0
614,ai,106,91201.0,91200.0
617,colab,68,88103.0,88102.0
618,data-science-model,660,113241.0,113240.0
619,machine-learning-model,841,90247.0,90246.0
621,mlp,104,63784.0,63783.0
623,annotation,36,,
624,normal-equation,9,,
627,metric,249,88477.0,88476.0
628,data-analysis,288,99540.0,99539.0
629,self-driving,9,88037.0,88036.0
630,generalization,42,,
631,boosting,123,,
632,objective-function,23,,
633,predictor-importance,29,,
634,momentum,8,,
637,weight-initialization,50,102035.0,102034.0
640,dplyr,19,48795.0,48794.0
641,epochs,42,,
644,cs231n,3,88305.0,88304.0
645,gridsearchcv,89,,
646,sensors,13,,
651,mcmc,5,48820.0,48819.0
652,probabilistic-programming,12,,
656,policy-gradients,60,,
660,stacked-lstm,17,,
662,ndcg,10,,
663,fastai,16,48804.0,48803.0
664,pipelines,100,48899.0,48898.0
667,nlg,14,36831.0,36830.0
669,heatmap,28,48743.0,48742.0
671,collinearity,26,,
673,matrix,75,39146.0,39145.0
674,spatial-transformer,6,,
675,evolutionary-algorithms,16,,
677,opencv,106,48895.0,48894.0
678,feature-reduction,9,,
680,activity-recognition,8,,
686,features,101,,
687,genetic-programming,11,85280.0,85279.0
690,attention-mechanism,153,,
693,rbf,9,43049.0,43048.0
700,implementation,121,93742.0,93741.0
701,code,16,,
704,image-size,6,,
707,imbalanced-learn,51,88261.0,88260.0
708,smotenc,9,,
709,image-preprocessing,161,99718.0,99717.0
711,deepmind,17,90847.0,90846.0
712,wolfram-language,4,45101.0,45100.0
713,chatbot,36,,
716,finite-precision,6,,
717,h2o,13,45591.0,45590.0
718,dynamic-programming,9,,
719,ridge-regression,26,48961.0,48960.0
720,image,98,,
721,discounted-reward,6,,
723,difference,16,,
724,3d-reconstruction,14,,
725,sagemaker,27,48614.0,48613.0
728,transformer,483,54047.0,54046.0
729,gmm,10,48407.0,48406.0
730,bert,355,48405.0,48404.0
731,dummy-variables,43,,
732,pip,17,47323.0,47322.0
734,aws-lambda,7,48791.0,48790.0
735,serialisation,8,,
737,density-estimation,13,48148.0,48147.0
738,mathematics,233,88263.0,88262.0
739,finetuning,86,,
741,vae,47,,
743,web-scraping,30,,
744,mean-shift,3,,
745,structured-data,12,,
746,fuzzy-classification,10,,
747,probability-calibration,49,,
754,gaussian-process,28,,
755,inceptionresnetv2,19,,
756,explainable-ai,69,52018.0,52017.0
757,softmax,69,,
759,coursera,12,,
763,manhattan,4,89005.0,89004.0
764,mse,47,57264.0,57263.0
767,lasso,47,53644.0,53643.0
769,lightgbm,104,,
770,pooling,16,,
772,one-shot-learning,12,,
774,feature-map,4,,
775,movielens,7,,
776,knime,6,57219.0,57218.0
779,spacy,88,57215.0,57214.0
780,allennlp,7,57217.0,57216.0
783,tesseract,2,94466.0,94465.0
786,pytorch-geometric,16,,
788,stemming,4,57670.0,57669.0
789,pickle,17,57668.0,57667.0
790,multi-instance-learning,6,,
791,arima,58,100084.0,100083.0
795,causalimpact,13,,
799,automl,18,,
801,question-answering,32,,
802,doc2vec,23,,
806,networkx,9,,
808,time,30,,
811,sparsity,7,,
813,multi-output,41,,
814,corpus,22,,
816,wikipedia,9,114182.0,114181.0
817,siamese-networks,23,,
818,semantic-similarity,62,,
819,python-3.x,239,99621.0,99620.0
820,statsmodels,48,,
822,non-parametric,16,,
823,bayesian-nonparametric,7,,
826,huggingface,108,,
827,image-segmentation,123,,
828,adaboost,27,,
830,rmse,31,,
831,anova,14,,
833,gru,27,,
836,one-hot-encoding,140,,
838,pruning,13,,
839,multivariate-distribution,41,,
840,auc,71,,
841,ann,23,,
846,least-squares-svm,3,,
847,categorical-encoding,82,,
851,groupby,31,64293.0,64292.0
852,c++,10,,
853,pearsons-correlation-coefficient,33,,
854,spearmans-rank-correlation,10,,
855,kendalls-tau-coefficient,4,,
856,predict,21,,
859,google-cloud,12,,
860,spyder,6,89009.0,89008.0
863,pattern-recognition,40,,
864,text-classification,286,99623.0,99622.0
865,3d-object-detection,6,,
867,encoder,24,,
869,linearly-separable,10,,
870,data-engineering,37,122493.0,122492.0
871,metaheuristics,7,,
874,spectral-clustering,14,,
876,sparse,28,,
877,f1score,54,,
879,natural-gradient-boosting,11,,
880,ngboost,2,,
881,linear-programming,7,89087.0,89086.0
882,cart,15,,
883,structural-equation-modelling,5,,
884,exploratory-factor-analysis,11,,
886,information-extraction,23,122622.0,122621.0
887,mlflow,6,,
888,shap,66,,
890,hashingvectorizer,4,,
891,naive-bayes-algorithim,16,,
895,bokeh,2,,
896,plotly,22,102805.0,102804.0
901,mxnet,2,,
903,tpu,4,68109.0,68108.0
904,cuda,23,,
905,isolation-forest,23,,
908,interpretation,58,,
909,elastic-net,12,,
913,functional-api,4,,
914,bagging,20,,
916,chi-square-test,27,,
918,target-encoding,16,,
920,bootstraping,17,,
922,confidence,28,,
924,labelling,26,,
926,gradient,33,,
927,graphviz,3,,
928,esl,4,90850.0,90849.0
931,gnn,13,,
932,graph-neural-network,57,,
933,knowledge-graph,17,,
934,early-stopping,21,,
935,estimation,8,,
938,fasttext,13,,
942,lime,12,82667.0,82666.0
943,derivation,20,,
947,field-aware-factorization-machines,3,,
948,hashing-trick,8,,
952,roc,60,,
953,windows,18,,
955,document-term-matrix,8,,
956,bag-of-words,22,,
957,imbalance,8,,
958,api,21,,
959,permutation-test,3,,
960,hypothesis-testing,51,,
961,semantic-segmentation,50,,
963,context-vector,6,,
965,grammar-inference,4,,
966,bart,5,,
967,pretraining,34,,
971,catboost,36,,
972,boruta,5,,
973,poisson,9,88266.0,88265.0
974,google-data-studio,6,80763.0,80762.0
975,google-bigquery,8,80765.0,80764.0
976,google-cloud-platform,10,80768.0,80767.0
978,document-understanding,10,,
979,cause-and-effect,3,,
980,loss,37,,
985,stacking,13,,
987,normal,5,,
988,mean,14,,
990,rfe,9,,
994,sgd,18,88154.0,88153.0
997,federated-learning,8,89089.0,89088.0
998,concept-drift,10,,
999,validation,63,,
1002,mlops,26,,
1006,goodness-of-fit,7,,
1007,r-squared,17,89092.0,89091.0
1008,partial-least-squares,7,88023.0,88022.0
1010,entity-linking,10,,
1011,dynamic-time-warping,17,,
1016,linear-models,31,100513.0,100512.0
1021,pasting,3,,
1022,time-complexity,9,,
1023,memory,23,,
1026,pvalue,11,,
1027,data-table,21,,
1028,logarithmic,17,,
1029,wasserstein,2,100411.0,100410.0
1030,cyclegan,4,,
1032,masking,8,,
1033,transformation,33,,
1036,gradient-boosting-decision-trees,56,,
1038,partial-dependence-plot,2,89832.0,89831.0
1040,convolutional-neural-network,728,90249.0,90248.0
1046,agglomerative,3,,
1048,tensorboard,4,89980.0,89979.0
1049,adversarial-ml,9,,
1050,intuition,5,89978.0,89977.0
1051,feature-interaction,7,94462.0,94461.0
1052,feature-importances,39,,
1053,perplexity,2,94464.0,94463.0
1054,coherence,4,,
1055,model-evaluations,371,90194.0,90193.0
1060,inference,30,,
1061,reward,4,91068.0,91067.0
1062,sigmoid,12,,
1063,oversampling,14,,
1064,imbalanced-data,38,,
1069,torchvision,6,,
1071,data-quality,9,,
1072,recurrent-neural-network,16,,
1077,binary-classification,132,,
1087,best-practice,4,,
1092,rapidminer,3,,
1094,one-class-classification,8,,
1095,histogram,31,114208.0,114207.0
1098,uncertainty,19,,
1100,flask,5,,
1106,gini-index,7,102451.0,102450.0
1108,real-ml-usecase,6,,
1113,hpc,5,103342.0,103341.0
1115,cross-entropy,22,,
1118,logistic,9,,
1120,text-processing,5,,
1121,test,14,,
1125,pacf,4,,
1127,functions,7,,
1129,custom-layer,6,,
1131,hashing,2,,
1133,conda,8,,
1137,universal-approximation-theorem,4,,
1138,data-drift,12,,
1139,few-shot-learning,5,,
1141,labeling,5,,
1145,elastic-search,3,,
1152,pcamixdata,3,,
1161,pymc3,4,114178.0,114177.0
1162,deployment,13,,
1166,odds,2,,
1168,ethical-ai,4,,
1170,deepar,2,,
1172,kalman-filter,11,,
1173,retraining,5,,
1175,knowledge-distillation,6,,
1176,pycaret,5,,
1180,symbolic-learning,2,,
1181,feedback-loop,3,,
1182,precision-recall-curve,11,,
1188,dictionary,5,,
1190,duplicate,3,,
1197,fourier,6,,
1198,prophet,7,,
1200,umap,7,,
1206,entropy,4,,
1210,conformalprediction,4,,
1211,replication,2,,
1213,reproducibility,4,,
1214,python-polars,5,,
1216,analysis,4,,
1219,t,4,,
1220,pearsons-coefficient,2,,
1222,diffusion,7,,
1223,synthetic-feature,4,,
1227,yolov5,2,,
1228,t5,4,,
1229,voice,4,,
1231,speaker,1,,
1235,zero-shot-learning,5,,
1236,speaker-sgmentation,2,,
1238,pytorch-lightning,6,,
1239,gpt,99,,
1240,text-to-speech,4,,
1241,dynamic-batching,2,,
1244,artificial-intelligence,11,,
1246,xgboost-classifier,5,,
1247,xgboost-predict,3,,
1251,vector-database,11,,
1252,llm,87,,
1253,chatgpt,14,,
1254,prompt-engineering,7,,
1259,image-generation,2,,
1260,variational-inference,2,,
1261,seasonality,4,,
1262,repeated-pattern,2,,
1263,date,3,,
1265,significance,5,,
1267,t-test,4,123577.0,123576.0
1269,validity-coefficient,2,,
1270,statistical-significance,6,,
1271,meta-analysis,2,,
1272,causal-inference,2,,
1277,speaker-verfication,4,,
1278,yolov8,7,,
1279,power-function,1,,
1280,z-test,2,,
1281,vscode,1,,
1283,pyinstaller,2,,
1284,darts,1,,
1285,skewness,2,,
1286,form-recognition,1,,
1287,text-extraction,2,,
1288,streamlit,1,,
1289,sign-test,1,,
1290,mann-whitney,1,,
1291,f-test,1,,
1293,residual-connection,1,,
1295,standardization,3,,
1296,transformer-model,1,,
